科目代碼,會計科目,日期,傳票號碼,種類,摘要,本幣借方金額,本幣貸方金額,借貸,餘額,幣別,匯率,原幣借方金額,原幣貸方金額
6010,薪資支出 ,2024/12/31,11212310001,3,12月份薪資 ,57000000.0,0,借,8515718.0,JPY,0.2119,268994808.87,0.0
6010,薪資支出 ,2024/12/31,11212310001,3,請假扣款 ,0.0,"290,400",借,8512814.0,JPY,0.2119,0.0,1370457.76
6030,文具用品 ,2024/12/31,11212310009,3,文具用品等 ,359700.0,0,借,48161.0,JPY,0.2119,1697498.82,0.0
6040,旅費 ,2024/12/31,11212310007,3,油資補貼(何) ,281400.0,0,借,272252.0,USD,32.835,8570.12,0.0
6040,旅費 ,2024/12/31,11212310010,3,12月份油資補貼 ,2120000.0,0,借,293452.0,JPY,0.2119,10004719.21,0.0
6060,郵電費 ,2024/12/31,11212310006,3,中和辦公室電話費 ,28000.0,0,借,3256.0,USD,32.835,852.75,0.0
6100,保險費 ,2024/12/31,11212310011,3,11月份勞.健保 ,7608500.0,0,借,1055160.0,CNY,4.503,1689651.34,0.0
6100,保險費 ,2024/12/31,11212310011,3,11月份勞退金 ,3657100.0,0,借,1091731.0,CNY,4.503,812147.46,0.0
6100,保險費 ,2024/12/31,11212310014,3,12月勞保.勞退金 ,8864300.0,0,借,1180374.0,CNY,4.503,1968532.09,0.0
6100,保險費 ,2024/12/31,11212310014,3,12月健保費 ,3464000.0,0,借,1215014.0,CNY,4.503,769264.93,0.0
6150,各項折舊 ,2024/12/31,11212310013,3,108年提列 ,402843400.0,0,借,4028434.0,USD,32.835,12268719.35,0.0
6230,其他費用 ,2024/12/31,11212310009,3,白板裝置及清潔什支等 ,1091000.0,0,借,1903886.0,JPY,0.2119,5148655.03,0.0
6230,其他費用 ,2024/12/31,11212310009,3,拜拜什支及員工餐費等 ,4034100.0,0,借,1944227.0,JPY,0.2119,19037753.66,0.0
6230,其他費用 ,2024/12/31,11212310012,3,12月份污水下水道使用費 ,1295400.0,0,借,1957181.0,CNY,4.503,287674.88,0.0
